Project,Budget,Contractor,Location,Latitude,Longitude,File
Kimwarer Dam,KES 22B,CMC Di Ravenna,Keiyo,0.4167,35.6333,Tender_7_Kimwarer_Dam.pdf
Dongo Kundu Bypass,KES 28B,Fujita,Likoni,-4.062,39.58,Tender_51_Dongo_Kundu_Bypass.pdf
Nairobi SGR Terminus,KES 32B,CRBC,Syokimau,-1.3501,36.9328,Tender_15_Nairobi_SGR_Terminus.pdf
Ruringu Stadium,KES 200M,Benisa Ltd,Nyeri,-0.4244,36.9536,Tender_21_Ruringu_Stadium.pdf
Thiba Dam Project,KES 8.2B,Strabag,Rukenya,-0.5325,37.3367,Tender_48_Thiba_Dam_Project.pdf
Dongo Kundu Bypass,KES 28B,Fujita,Likoni,-4.062,39.58,Tender_5_Dongo_Kundu_Bypass.pdf
Lower Kuja Irrigation,KES 400M,NIB,Migori,-0.8167,34.4,Tender_25_Lower_Kuja_Irrigation.pdf
Uhuru Gardens Museum,KES 600M,KDF Projects,Langata,-1.3321,36.7997,Tender_29_Uhuru_Gardens_Museum.pdf
Kinoru Stadium Meru,KES 900M,Toddy Civil Works,Meru,0.0463,37.6559,Tender_32_Kinoru_Stadium_Meru.pdf
Nyeri Science Park,KES 800M,Dedan Kimathi Uni,Nyeri,-0.395,36.963,Tender_43_Nyeri_Science_Park.pdf
Likoni Floating Bridge,KES 1.9B,CRBC,Likoni,-4.0753,39.6644,Tender_11_Likoni_Floating_Bridge.pdf
Galana Kulalu Farm,KES 7B,Green Arava,Tana,-3.0833,39.5,Tender_9_Galana_Kulalu_Farm.pdf
Siaya Referral Hospital,KES 400M,Siaya County,Siaya,0.062,34.2882,Tender_34_Siaya_Referral_Hospital.pdf
Kamariny Stadium,KES 287M,Funan Construction,Iten,0.6498,35.5076,Tender_20_Kamariny_Stadium.pdf
Tot-Kolowa Road,KES 200M,Kura,Marakwet,1.05,35.7,Tender_37_Tot-Kolowa_Road.pdf
Ahero Interchange Stalled,KES 1B,KenHA,Kisumu,-0.1667,34.9167,Tender_41_Ahero_Interchange_Stalled.pdf
Koru-Soin Dam,KES 20B,China Gezhouba,Kisumu,-0.1833,35.25,Tender_23_Koru-Soin_Dam.pdf
Kisumu Port Refurb,KES 3B,Kenya Navy,Kisumu,-0.1061,34.7432,Tender_28_Kisumu_Port_Refurb.pdf
Karatu Stadium,KES 150M,Smith & Gold,Gatundu,-1.05,36.9,Tender_22_Karatu_Stadium.pdf
Kapenguria-Makutano Road,KES 150M,KeRRA,West Pokot,1.2333,35.1167,Tender_38_Kapenguria-Makutano_Road.pdf
Mitihani House South C,KES 2B,KNEC,Nairobi,-1.321,36.83,Tender_39_Mitihani_House_South_C.pdf
Eastern Bypass Expansion,KES 12B,CCCC,Embakasi,-1.2333,36.95,Tender_18_Eastern_Bypass_Expansion.pdf
Makupa Bridge,KES 4.5B,CCCC,Mombasa,-4.03,39.65,Tender_49_Makupa_Bridge.pdf
GTC Nairobi Complex,KES 15B,Avic International,Westlands,-1.2721,36.8122,Tender_12_GTC_Nairobi_Complex.pdf
Tatu City Infrastructure,KES 5B,Rendeavour,Ruaka,-1.1333,36.9167,Tender_26_Tatu_City_Infrastructure.pdf
Ulinzi Sports Complex,KES 1B,KDF Engineering,Langata,-1.299,36.786,Tender_33_Ulinzi_Sports_Complex.pdf
Kachibora-Kapcherop Road,KES 300M,TransNzoia Works,Trans Nzoia,0.9833,35.3333,Tender_40_Kachibora-Kapcherop_Road.pdf
Suswa SGR Station,KES 4.5B,CCCC,Narok,-1.0833,36.3667,Tender_16_Suswa_SGR_Station.pdf
Ruiru Sewerage Plant,KES 1.1B,Athi Water,Ruiru,-1.161,36.992,Tender_30_Ruiru_Sewerage_Plant.pdf
Kibwezi-Kitui Road,KES 18B,Sinohydro Corp,Kitui South,-1.35,38.0167,Tender_13_Kibwezi-Kitui_Road.pdf
Konza City Data Center,KES 40B,Konza Auth,Konza,-1.6961,37.1852,Tender_50_Konza_City_Data_Center.pdf
Itare Dam Water Supply,KES 38B,CMC Di Ravenna,Kuresoi,-0.5167,35.7333,Tender_8_Itare_Dam_Water_Supply.pdf
Dandora Stadium,KES 350M,Dandora Contractors,Dandora,-1.2486,36.9031,Tender_31_Dandora_Stadium.pdf
Nakuru Market Complex,KES 600M,Nakuru County,Nakuru,-0.2853,36.0682,Tender_35_Nakuru_Market_Complex.pdf
Ngong Road Expansion,KES 2.3B,World Kaihatsu,Dagoretti,-1.3,36.75,Tender_17_Ngong_Road_Expansion.pdf
Nairobi Expressway Exit,KES 800M,CRBC,Mlolongo,-1.3622,36.9317,Tender_1_Nairobi_Expressway_Exit.pdf
Thiba Dam Project,KES 8.2B,Strabag,Rukenya,-0.5325,37.3367,Tender_2_Thiba_Dam_Project.pdf
Makupa Bridge,KES 4.5B,CCCC,Mombasa,-4.03,39.65,Tender_3_Makupa_Bridge.pdf
Ramisi-Shimoni Road,KES 500M,Kwale Works,Kwale,-4.6,39.3833,Tender_45_Ramisi-Shimoni_Road.pdf
Bura Irrigation Gravity,KES 1.2B,IVRCL Infrastructure,Tana River,-1.1667,39.8333,Tender_36_Bura_Irrigation_Gravity.pdf
Western Bypass,KES 17B,CRBC,Kiambu,-1.2167,36.7667,Tender_19_Western_Bypass.pdf
Moi Uni Pension Tower,KES 2.5B,Moi University,Eldoret,0.5167,35.2833,Tender_42_Moi_Uni_Pension_Tower.pdf
Nairobi Expressway Exit,KES 800M,CRBC,Mlolongo,-1.3622,36.9317,Tender_47_Nairobi_Expressway_Exit.pdf
Wote Stadium,KES 350M,Traphes Ent,Makueni,-1.7802,37.6275,Tender_10_Wote_Stadium.pdf
Kakamega Referral Hosp,KES 3B,Kakamega County,Kakamega,0.2833,34.75,Tender_44_Kakamega_Referral_Hosp.pdf
Lake Turkana Transmission,KES 10B,Isolux Corsan,Loiyangalani,2.5,36.8,Tender_24_Lake_Turkana_Transmission.pdf
Chuka Stadium,KES 250M,Tharaka Nithi Govt,Chuka,-0.3333,37.65,Tender_46_Chuka_Stadium.pdf
Arror Dam Project,KES 63B,CMC Di Ravenna,Elgeyo,0.9081,35.6669,Tender_6_Arror_Dam_Project.pdf
Mama Ngina Waterfront,KES 460M,Suhufi Agencies,Mombasa,-4.0734,39.6784,Tender_27_Mama_Ngina_Waterfront.pdf
Konza City Data Center,KES 40B,Konza Auth,Konza,-1.6961,37.1852,Tender_4_Konza_City_Data_Center.pdf
Kenol-Sagana-Marua Road,KES 16B,Wu Yi Company,Muranga,-0.7,37.15,Tender_14_Kenol-Sagana-Marua_Road.pdf
