Project,Contractor,Location,Verdict,Score,Img_Before,Img_After
Kimwarer Dam,CMC Di Ravenna,Keiyo,RED FLAG,0.0,batch_evidence/Batch_1_BEFORE.png,batch_evidence/Batch_1_AFTER.png
Dongo Kundu Bypass,Fujita,Likoni,GREEN FLAG,23.619062,batch_evidence/Batch_2_BEFORE.png,batch_evidence/Batch_2_AFTER.png
Nairobi SGR Terminus,CRBC,Syokimau,GREEN FLAG,48.641006,batch_evidence/Batch_3_BEFORE.png,batch_evidence/Batch_3_AFTER.png
Ruringu Stadium,Benisa Ltd,Nyeri,RED FLAG,0.0,batch_evidence/Batch_4_BEFORE.png,batch_evidence/Batch_4_AFTER.png
Thiba Dam Project,Strabag,Rukenya,RED FLAG,0.0,batch_evidence/Batch_5_BEFORE.png,batch_evidence/Batch_5_AFTER.png
Dongo Kundu Bypass,Fujita,Likoni,GREEN FLAG,23.619062,batch_evidence/Batch_6_BEFORE.png,batch_evidence/Batch_6_AFTER.png
Lower Kuja Irrigation,NIB,Migori,RED FLAG,0.0,batch_evidence/Batch_7_BEFORE.png,batch_evidence/Batch_7_AFTER.png
Uhuru Gardens Museum,KDF Projects,Langata,GREEN FLAG,22.589499,batch_evidence/Batch_8_BEFORE.png,batch_evidence/Batch_8_AFTER.png
Kinoru Stadium Meru,Toddy Civil Works,Meru,GREEN FLAG,10.423356,batch_evidence/Batch_9_BEFORE.png,batch_evidence/Batch_9_AFTER.png
Nyeri Science Park,Dedan Kimathi Uni,Nyeri,RED FLAG,0.0,batch_evidence/Batch_10_BEFORE.png,batch_evidence/Batch_10_AFTER.png
Likoni Floating Bridge,CRBC,Likoni,GREEN FLAG,29.222769,batch_evidence/Batch_11_BEFORE.png,batch_evidence/Batch_11_AFTER.png
Galana Kulalu Farm,Green Arava,Tana,RED FLAG,0.0,batch_evidence/Batch_12_BEFORE.png,batch_evidence/Batch_12_AFTER.png
Siaya Referral Hospital,Siaya County,Siaya,RED FLAG,0.0,batch_evidence/Batch_13_BEFORE.png,batch_evidence/Batch_13_AFTER.png
